wl,FSS99,FSS80,FSS60,FSS40,FSS20,FSS10,FSS5,FSS2
352,92.49588583,78.21466494,62.71644288,50.49482848,10.09021067,5.5648064,1.141555031,2.301380703
353,92.48274689,78.25030996,62.61863122,50.42613007,10.03356911,5.506014035,1.095174787,2.28414843
354,92.47156145,78.37079925,62.69010231,50.39130309,10.01709365,5.465796616,1.072480979,2.270975814
355,92.38469172,78.31959342,62.65580248,50.38091335,10.03238609,5.437863776,1.059185825,2.269374099
356,92.5156043,78.40952784,62.58237208,50.28071932,10.01856549,5.456439806,1.079222641,2.288955965
357,92.40295639,78.40964681,62.59715615,50.28280838,10.02179238,5.505835035,1.126798808,2.329399714
358,92.28215514,78.28229995,62.47177964,50.25977476,10.03346014,5.557945838,1.180465046,2.368475439
359,92.13219925,78.22330887,62.43450508,50.17183168,10.01144668,5.569383914,1.198073508,2.369817359
360,92.02347881,78.1951145,62.43157249,50.1705765,9.993070585,5.540886274,1.192758442,2.36313062
361,92.105656,78.31620526,62.39773206,50.14143213,9.958388649,5.504663201,1.181690196,2.367816271
362,92.13440277,78.41608829,62.44538647,50.17578426,9.96118999,5.50695676,1.18287778,2.379651265
363,92.26210781,78.54315196,62.51499161,50.26137462,9.991361458,5.533300402,1.206892626,2.410297396
364,92.3321144,78.61045588,62.59958353,50.34296961,10.03563592,5.545822572,1.218338438,2.418162698
365,92.31083527,78.51718658,62.70365154,50.41767947,10.09902783,5.558112692,1.230274941,2.403521651
366,92.37039756,78.50204174,62.76590416,50.40628327,10.10272319,5.555327333,1.210382119,2.41427919
367,92.34449408,78.4424156,62.7051782,50.40618582,10.07272975,5.52155876,1.177876951,2.386046211
368,92.36471523,78.46964636,62.71676075,50.4154787,10.09163241,5.557325959,1.179164312,2.375090582
369,92.49029299,78.57517509,62.66990156,50.45948582,10.10579214,5.583556216,1.200815188,2.393399863
370,92.41343105,78.54904058,62.65677078,50.4616889,10.10706197,5.571407522,1.190721551,2.374600318
371,92.47278196,78.61225084,62.7178452,50.4719075,10.10667627,5.580289508,1.189980662,2.378199959
372,92.42993562,78.56277272,62.68676255,50.41182881,10.07484777,5.535517987,1.163530372,2.35562273
373,92.28474905,78.5206039,62.71592041,50.35554946,10.04133732,5.486573612,1.100401171,2.317354461
374,92.46113559,78.64631122,62.70090349,50.36033221,10.03618044,5.479991121,1.105695456,2.32014202
375,92.40789761,78.60885521,62.68033165,50.34711711,10.02941979,5.447688639,1.114659371,2.343661482
376,92.38503011,78.5841976,62.70249108,50.37852268,10.01081855,5.463713782,1.151299414,2.3890532
377,92.50679888,78.6986607,62.73241855,50.39894692,10.01700476,5.51216495,1.210986894,2.439722728
378,92.42941678,78.68861906,62.77765108,50.45438245,10.04602248,5.529268896,1.254408774,2.463786984
379,92.49218468,78.72911515,62.82965073,50.48451304,10.08645497,5.580175202,1.286491551,2.47411482
380,92.54402503,78.77936312,62.84592319,50.47822509,10.1079958,5.609211264,1.282489021,2.501480282
381,92.49264581,78.68730082,62.83501478,50.48898883,10.12044107,5.606403491,1.2641015,2.495088045
382,92.4723518,78.65218051,62.79605521,50.41724773,10.0933838,5.60620406,1.243713367,2.479445584
383,92.53429072,78.68614101,62.81033818,50.44738402,10.07870864,5.593909246,1.238028719,2.485518473
384,92.5316549,78.68940273,62.84250343,50.46613036,10.08385876,5.597607892,1.262032229,2.481127889
385,92.54498336,78.69640365,62.85254131,50.45455657,10.07957768,5.602697856,1.27305741,2.487864541
