"wl","black","white","cool.grey","burnt.umber","burnt.sienna","raw.sienna","X99","X80","X60","X40","X20","X10","X5","X2","yellow.ochre","olive.green","sap.green","viridian","phthalo.blue","prusian.blue","ultramarine","purple","crimson.lake","cad.red","cad.red.orange","cad.orange","yellow","lemon.yellow"
531,0.251376226578636,0.480611293724443,0.312971508260142,0.255485567039938,0.266072646623635,0.401774301784422,0.5,0.434735397788884,0.405445552221262,0.343994061558376,0.280387062698888,0.267408579837884,0.25548249075166,0.25,0.3234352577238,0.281099311029323,0.388145835204568,0.304973110865505,0.339163210302042,0.449880261655789,0.279010436676301,0.292102484296696,0.390775283426807,0.262019351081348,0.275381893827658,0.382862215066025,0.455733572307671,0.482495725653554
532,0.251349551657491,0.480697559394055,0.312575168305719,0.255476527857498,0.266261704624095,0.402616401853809,0.5,0.434195552218378,0.404777268776025,0.343511230970721,0.280237142222558,0.267316430465498,0.255450299908337,0.25,0.325213390322771,0.281842692339803,0.390041978527444,0.304047021044804,0.336939923710054,0.447875257065526,0.277948702071705,0.291806378046175,0.389900992283167,0.261782415981996,0.275391445653304,0.385074586607082,0.458712930159276,0.482324361586978
533,0.251335656441366,0.481071302125317,0.312490696959258,0.255513349468203,0.26647526642875,0.403892630895934,0.5,0.433988396652379,0.404573990877994,0.343328372838898,0.280215685724907,0.267294561105368,0.255434124104434,0.25,0.327283407724821,0.28257076567009,0.391985869224235,0.303342425510377,0.335219795736428,0.446335877217973,0.277035613600283,0.291695449949747,0.389709456572341,0.261605021075654,0.275572414204983,0.387680997078716,0.461940855593146,0.482454429816918
534,0.25130869618478,0.481613818950018,0.312465651954924,0.255601843083019,0.266727364444993,0.40530869347081,0.5,0.433927922876934,0.404466760742778,0.343229308340027,0.280233291820411,0.267312015346921,0.255442006655702,0.25,0.329330457367739,0.283227358347753,0.393776544137878,0.302757985514478,0.333911872975059,0.44530436751361,0.276361042367182,0.291698704336302,0.389706541528682,0.26152164313209,0.275919535457507,0.390247309407318,0.464669867021985,0.482919471189892
535,0.251272468472828,0.482080726226113,0.312433642113523,0.255675256709583,0.266982043290876,0.406413771751654,0.5,0.433854382123011,0.404440706951271,0.343224523819948,0.280208235540952,0.267308247943025,0.255459994369993,0.25,0.331213155230472,0.283664360436572,0.395041197799813,0.302164543408075,0.332492746619219,0.443977657570928,0.275692935702845,0.291539264906737,0.389470883306741,0.261420371256368,0.276324040670017,0.392663437494311,0.466860980166479,0.483046961201877
536,0.251288006536016,0.482598487303444,0.312339752557332,0.255726813049852,0.267260449491253,0.407869737069408,0.5,0.433675893524172,0.404253490773206,0.343020799712543,0.280228558798391,0.267316719418417,0.255441775554638,0.25,0.333268975985114,0.284093000444785,0.396497010773399,0.301522544465995,0.331098638751846,0.442666507943582,0.275058864391017,0.291445174100285,0.389097384615599,0.261339937582135,0.276907747042998,0.395235600942579,0.468868382266261,0.483230658933456
537,0.251345859486542,0.482710741972465,0.312155724541593,0.255742877481549,0.267562671395028,0.408860198999635,0.5,0.433490977671018,0.404011177199084,0.342850891241929,0.280177029023313,0.267282466097462,0.25544711521254,0.25,0.335164103408518,0.284302494061982,0.397475148815061,0.300796510443974,0.329499551209199,0.440932003043888,0.274411536418257,0.291251077211027,0.388557605661156,0.261261884276176,0.277565411596302,0.397775585944478,0.470454679549856,0.483181839995722
538,0.251380473634176,0.482739376405259,0.311956315971007,0.255784176804583,0.267861155525442,0.409784261984081,0.5,0.433327609657432,0.403976266059013,0.342797722556986,0.280127988649884,0.267236377389947,0.255399493800791,0.25,0.337166452403043,0.284389982029301,0.398220820293835,0.300065650757804,0.327935230397211,0.439010580571329,0.273747251366988,0.290936939643227,0.387968697700188,0.26109081035452,0.278285693940005,0.400261115454965,0.471857149043959,0.482920950958155
539,0.251408691891035,0.482545393636408,0.311753999785156,0.255888456192027,0.268197440581692,0.410881886313144,0.5,0.433152025811607,0.4038073690567,0.342601442592116,0.280034568918008,0.267203981192172,0.25536514489185,0.25,0.339569326425559,0.28440583057069,0.399094663112009,0.299156259352086,0.326211751212548,0.43703777485215,0.27298567465292,0.290628287615832,0.387662723712975,0.260986044222506,0.279279478708682,0.403262545179805,0.473511622795232,0.482957017660439
540,0.251412598775776,0.482355506384452,0.311636349536315,0.256011736798289,0.268660028600265,0.412141121641699,0.5,0.433328184166842,0.404010348518091,0.342736210648175,0.279996620820256,0.267203250026553,0.255409598215724,0.25,0.342367567971124,0.284431109625129,0.400125650323478,0.298395006239904,0.324728250650568,0.43551389986586,0.272235430057877,0.290237495391986,0.387629341299188,0.260911901983871,0.280491554868107,0.406552386154487,0.475272850003484,0.483200304974787
