wl,FSS99,FSS80,FSS60,FSS40,FSS20,FSS10,FSS5,FSS2
389,0.92554112,0.78861036,0.62990262,0.50464066,0.10031897,0.055584710,0.012583275,0.024723725
390,0.92591312,0.78854624,0.62987190,0.50511061,0.10048744,0.055724028,0.012564978,0.02495295
391,0.92661737,0.7889569,0.62965346,0.50519416,0.100708,0.055822065,0.012807971,0.025149825
392,0.92712416,0.78999452,0.62943322,0.5053597,0.10067174,0.05588710,0.012959638,0.025142933
393,0.92719502,0.79026704,0.63018605,0.50609739,0.10090114,0.05606691,0.013252477,0.025305597
394,0.9269827,0.79048020,0.63011950,0.5061043,0.10095715,0.056018010,0.013374167,0.025417155
395,0.92670632,0.79046418,0.6301578,0.50579555,0.10079516,0.05591496,0.013281279,0.025355635
396,0.92691239,0.79024351,0.63044105,0.50602731,0.10086052,0.056020421,0.013420883,0.025525318
397,0.92799258,0.79018429,0.63004028,0.50580762,0.10083402,0.055815963,0.01327213,0.025443247
398,0.92772159,0.78993607,0.62991542,0.50546963,0.10092054,0.055924073,0.013357249,0.025470073
399,0.92795752,0.78997530,0.62988930,0.50550151,0.10125955,0.056017819,0.01340610,0.025558277
400,0.92792457,0.79013806,0.62988545,0.50581920,0.10126777,0.056077436,0.013296430,0.025483984
401,0.92754152,0.78976607,0.63005351,0.50589685,0.10119087,0.05597021,0.013002620,0.025334326
402,0.92833836,0.78974914,0.63035375,0.50608904,0.10111947,0.05590989,0.012800825,0.025370460
403,0.92827062,0.79018371,0.62993350,0.50594878,0.1008321,0.055732941,0.012734871,0.02543249
404,0.92871035,0.79029323,0.63027727,0.50571411,0.10077812,0.055637779,0.012891808,0.025549023
405,0.92877169,0.79106277,0.63091313,0.50638216,0.10094273,0.055895648,0.013226684,0.025852541
406,0.92840004,0.79115923,0.63118637,0.50695450,0.10110761,0.055905458,0.013460249,0.02595186
407,0.92844728,0.79091901,0.63210299,0.50752829,0.10142880,0.056053356,0.013674875,0.026068614
408,0.92802974,0.7909061,0.63240749,0.50758786,0.10156965,0.056117702,0.013745610,0.026223607
409,0.92818600,0.79097684,0.63250871,0.50733539,0.10172485,0.056232183,0.014076473,0.026302188
410,0.92920762,0.79180055,0.6324409,0.50709442,0.10170192,0.056259896,0.014136666,0.026402170
411,0.92961145,0.79213140,0.63216257,0.50715191,0.10155155,0.056389708,0.014205840,0.026499916
412,0.93013875,0.79257789,0.6321294,0.50720228,0.1014453,0.056209432,0.01405535,0.026506233
413,0.92977196,0.79268457,0.63161779,0.50647753,0.10103502,0.055819709,0.013781552,0.02645779
414,0.92903990,0.79213406,0.63225845,0.50703967,0.10109829,0.055808460,0.013670334,0.026449860
415,0.9290213,0.79166610,0.63333148,0.50763721,0.10131619,0.055810058,0.013719517,0.026530886
416,0.92893618,0.79131677,0.63386794,0.50827981,0.10130837,0.055878406,0.013832342,0.026442532
417,0.92980637,0.79165430,0.63451611,0.5088387,0.10140531,0.056030642,0.013953202,0.026574303
