wavelength,UV,blue,green
437,7.27417018508257E-06,0.0117319087817150,0.00234178292290221
438,6.25073803916874E-06,0.0117269102888966,0.00237260418230396
439,5.22730589325492E-06,0.0117219117960781,0.00240342544170572
440,4.20387374734109E-06,0.0117169133032596,0.00243424670110748
441,3.6715054561931E-06,0.0117076148738709,0.00246719990508894
442,3.1391371650451E-06,0.0116983164444823,0.00250015310907041
443,2.6067688738971E-06,0.0116890180150936,0.00253310631305187
444,2.0744005827491E-06,0.0116797195857049,0.00256605951703334
445,1.80454493171891E-06,0.0116661505708489,0.00260123080476945
446,1.53468928068871E-06,0.0116525815559929,0.00263640209250556
447,1.26483362965852E-06,0.0116390125411369,0.00267157338024167
448,9.94977978628329E-07,0.0116254435262809,0.00270674466797778
449,8.62803782205377E-07,0.0115297207744965,0.00274419864384974
450,7.30629585782426E-07,0.0114339980227121,0.00278165261972171
451,5.98455389359475E-07,0.0113382752709277,0.00281910659559367
452,4.66281192936523E-07,0.0112425525191434,0.00285656057146563
453,4.0386560018124E-07,0.0110857178360769,0.00289635024419648
454,3.39614254697861E-07,0.0109288831530104,0.00293613991692733
455,2.77198661942579E-07,0.0107720484699440,0.00297592958965818
456,2.129473164592E-07,0.0106152137868775,0.00301571926238903
457,1.83391697536845E-07,0.0104074608105551,0.00305786451024990
458,1.53836078614491E-07,0.0101997078342328,0.00310000975811078
459,1.24280459692136E-07,0.00999195485791037,0.00314215500597166
460,9.47248407697819E-08,0.00978420188158799,0.00318430025383254
461,8.13238458546771E-08,0.00953870338697698,0.00322879610725566
462,6.79228509395723E-08,0.00929320489236597,0.00327329196067878
463,5.45218560244675E-08,0.00904770639775496,0.00331778781410190
464,4.11208611093627E-08,0.00880220790314395,0.00336228366752502
465,3.52464523794537E-08,0.00853369227366362,0.00340908871344551
466,2.93720436495448E-08,0.00826517664418329,0.00345589375936600
467,2.33140596468262E-08,0.00799666101470296,0.00350269880528649
468,1.74396509169172E-08,0.00772814538522263,0.00354950385120697
469,1.4887954624863E-08,0.00745138503094660,0.00359852532435952
470,1.23362583328088E-08,0.00717462467667056,0.00364754679751206
471,9.76620451347363E-09,0.00689786432239453,0.00369656827066460
472,7.21450822141943E-09,0.00662110396811850,0.00374558974381714
473,6.14977163912344E-09,0.00634957985059417,0.00379668352673597
474,5.06667752954647E-09,0.00607805573306984,0.00384777730965480
475,4.00194094725047E-09,0.00580653161554551,0.00389887109257363
476,2.91884683767351E-09,0.00553500749802118,0.00394996487549246
477,2.47826618293034E-09,0.00527986716611793,0.00400292224633062
478,2.03768552818717E-09,0.00502472683421468,0.00405587961716878
