wavelength,UV,green
567,1.98E-09,0.003430136
568,1.70E-09,0.003293309
569,1.46E-09,0.003159682
570,1.26E-09,0.003029306
571,1.08E-09,0.002902225
572,9.30E-10,0.002778484
573,7.97E-10,0.002658119
574,6.82E-10,0.002541147
575,5.83E-10,0.002427579
576,4.99E-10,0.002317425
577,4.26E-10,0.00221069
578,3.65E-10,0.002107361
579,3.12E-10,0.00200742
580,2.67E-10,0.001910848
581,2.28E-10,0.001817624
582,1.94E-10,0.00172771
583,1.65E-10,0.001641065
584,1.40E-10,0.001557648
585,1.19E-10,0.001477416
586,1.01E-10,0.001400313
587,8.63E-11,0.001326282
588,7.33E-11,0.001255264
589,6.23E-11,0.0011872
590,5.28E-11,0.001122023
591,4.47E-11,0.001059664
592,3.78E-11,0.001000054
593,3.19E-11,0.000943123
594,2.69E-11,0.000888795
595,2.27E-11,0.000836997
596,1.92E-11,0.000787652
597,1.63E-11,0.000740685
598,1.38E-11,0.000696019
599,1.16E-11,0.00065358
600,9.68E-12,0.000613293
601,7.87E-12,0.00057508
602,6.07E-12,0.000538868
603,4.17E-12,0.00050458
604,2.05E-12,0.000472141
605,0,0.000441475
606,0,0.000412506
607,0,0.00038516
608,0,0.00035936
609,0,0.000335032
610,0,0.000312098
611,0,0.000290485
612,0,0.000270116
613,0,0.000250916
614,0,0.000232809
615,0,0.00021572
616,0,0.000199573
617,0,0.000184292
618,0,0.000169802
619,0,0.000156028
620,0,0.000142894
621,0,0.000130324
622,0,0.000118243
623,0,0.000106575
624,0,9.52E-05
625,0,8.42E-05
626,0,7.33E-05
627,0,6.25E-05
628,0,5.18E-05
629,0,4.10E-05
630,0,3.01E-05
631,0,1.90E-05
632,0,7.69E-06
633,0,0
634,0,0
635,0,0
636,0,0
637,0,0
638,0,0
639,0,0
640,0,0
641,0,0
642,0,0
643,0,0
644,0,0
645,0,0
646,0,0
647,0,0
648,0,0
649,0,0
650,0,0
651,0,0
652,0,0
653,0,0
654,0,0
655,0,0
656,0,0
657,0,0
658,0,0
659,0,0
660,0,0
661,0,0
662,0,0
663,0,0
664,0,0
665,0,0
666,0,0
667,0,0
668,0,0
669,0,0
670,0,0
671,0,0
672,0,0
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,0,0
681,0,0
682,0,0
683,0,0
684,0,0
685,0,0
686,0,0
687,0,0
688,0,0
689,0,0
690,0,0
691,0,0
692,0,0
693,0,0
694,0,0
695,0,0
696,0,0
697,0,0
698,0,0
699,0,0
700,0,0
