wl,uR,B,G,R
325,0.001262300882285,4.62280163514538E-05,5.1982932974139E-05,0.000135623788923
326,0.001584867986696,4.0793310627371E-05,3.40541580796813E-05,0.000104693457127
327,0.001907435091108,3.53586049032882E-05,1.61253831852236E-05,7.37631253317725E-05
328,0.002230002195519,2.99238991792055E-05,-1.80339170923411E-06,4.28327935363874E-05
329,0.00255256929993,2.44891934551227E-05,-1.97321666036918E-05,1.19024617410023E-05
330,0.002875136404342,1.905448773104E-05,-3.76609414981495E-05,-1.90278700543828E-05
331,0.003296428436464,2.24394835315718E-06,-3.71246005907903E-05,-1.49433597182829E-05
332,0.003717720468587,-1.45665910247256E-05,-3.65882596834311E-05,-1.0858849382183E-05
333,0.004139012500709,-3.13771304026084E-05,-3.60519187760718E-05,-6.77433904608317E-06
334,0.004560304532831,-4.81876697804912E-05,-3.55155778687126E-05,-2.6898287099833E-06
335,0.004981596564954,-6.4998209158374E-05,-3.49792369613534E-05,1.39468162611657E-06
336,0.005829875205881,-5.36901515040848E-05,-5.41857605811118E-05,-1.9725593966172E-05
337,0.006678153846808,-4.23820938497955E-05,-7.33922842008703E-05,-4.08458695584606E-05
338,0.007526432487735,-3.10740361955062E-05,-9.25988078206287E-05,-6.19661451507492E-05
339,0.008374711128663,-1.9765978541217E-05,-0.00011180533144,-8.30864207430378E-05
340,0.00922298976959,-8.4579208869277E-06,-0.00013101185506,-0.000104206696335
341,0.010115488778469,-2.94174947241231E-05,-9.23349635401744E-05,-0.000117439765713
342,0.011007987787348,-5.03770685613185E-05,-5.36580720202031E-05,-0.000130672835091
343,0.011900486796227,-7.13366423985139E-05,-1.49811805002319E-05,-0.000143905904469
344,0.012792985805105,-9.22962162357093E-05,2.36957110197393E-05,-0.000157138973847
345,0.013685484813984,-0.000113255790073,6.23726025397106E-05,-0.000170372043225
346,0.014589639427514,-7.18458255178019E-05,5.55503229527161E-05,-9.84971349155516E-05
347,0.015493794041043,-3.04358609626992E-05,4.87280433657216E-05,-2.6622226606498E-05
348,0.016397948654573,1.09741035924035E-05,4.19057637787272E-05,4.52526817025555E-05
349,0.017302103268102,5.23840681475062E-05,3.50834841917328E-05,0.000117127590012
350,0.018206257881632,9.37940327026089E-05,2.82612046047383E-05,0.000189002498321
351,0.018941544158151,7.28849250599099E-05,1.91901161556935E-05,0.000148319124619
352,0.01967683043467,5.19758174172109E-05,1.01190277066486E-05,0.000107635750917
353,0.020412116711189,3.10667097745119E-05,1.04793925760377E-06,6.69523772146164E-05
354,0.021147402987708,1.01576021318129E-05,-8.02314919144108E-06,2.6269003512601E-05
355,0.021882689264227,-1.07515055108861E-05,-1.70942376404859E-05,-1.44143701894144E-05
356,0.023204856798589,5.225142061657E-06,-1.49540521693689E-05,1.7262407067882E-06
357,0.024527024332951,2.12017896342001E-05,-1.28138666982519E-05,1.78668516029908E-05
358,0.025849191867313,3.71784372067431E-05,-1.06736812271349E-05,3.40074624991935E-05
359,0.027171359401675,5.31550847792862E-05,-8.53349575601785E-06,5.01480733953961E-05
360,0.028493526936037,6.91317323518292E-05,-6.39331028490083E-06,6.62886842915988E-05
361,0.029500931158905,5.09543153049354E-05,-2.3163200643733E-05,5.76602816929892E-05
362,0.030508335381773,3.27768982580416E-05,-3.99330910025652E-05,4.90318790943796E-05
363,0.031515739604641,1.45994812111479E-05,-5.67029813613974E-05,4.04034764957701E-05
364,0.032523143827509,-3.57793583574592E-06,-7.34728717202296E-05,3.17750738971605E-05
365,0.033530548050377,-2.17553528826397E-05,-9.02427620790618E-05,2.3146671298551E-05
366,0.033827245404463,-1.44394141468093E-05,-7.8544324211769E-05,3.78557877732978E-05
367,0.034123942758548,-7.12347541097885E-06,-6.68458863444763E-05,5.25649042480446E-05
368,0.034420640112634,1.92463324851573E-07,-5.51474484771836E-05,6.72740207227914E-05
369,0.03471733746672,7.508402060682E-06,-4.34490106098908E-05,8.19831371975382E-05
370,0.035014034820806,1.48243407965124E-05,-3.17505727425981E-05,9.66922536722849E-05
371,0.033351650186242,1.99597624188429E-05,-2.50955526209995E-05,8.75000330405406E-05
